GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (1583)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of MAPK cascade (GO:0043408)	652	79	50.15	+	1.58	5.08E-05	7.07E-03
positive regulation of cytokine production (GO:0001819)	506	61	38.92	+	1.57	4.90E-04	3.84E-02
positive regulation of cell adhesion (GO:0045785)	499	60	38.38	+	1.56	6.14E-04	4.42E-02
tube morphogenesis (GO:0035239)	700	84	53.84	+	1.56	4.76E-05	6.69E-03
regulation of locomotion (GO:0040012)	1060	127	81.53	+	1.56	4.27E-07	1.70E-04
regulation of cell motility (GO:2000145)	1016	121	78.15	+	1.55	1.19E-06	3.90E-04
anatomical structure formation involved in morphogenesis (GO:0048646)	1001	119	77.00	+	1.55	1.82E-06	5.28E-04
tube development (GO:0035295)	936	111	72.00	+	1.54	4.10E-06	1.02E-03
positive regulation of cell population proliferation (GO:0008284)	931	108	71.61	+	1.51	1.69E-05	3.11E-03
regulation of anatomical structure morphogenesis (GO:0022603)	845	97	65.00	+	1.49	7.04E-05	8.95E-03
regulation of response to external stimulus (GO:0032101)	1122	128	86.30	+	1.48	6.30E-06	1.48E-03
enzyme-linked receptor protein signaling pathway (GO:0007167)	659	75	50.69	+	1.48	6.02E-04	4.36E-02
response to lipid (GO:0033993)	891	100	68.54	+	1.46	1.39E-04	1.48E-02
negative regulation of cell population proliferation (GO:0008285)	704	79	54.15	+	1.46	6.84E-04	4.79E-02
regulation of cell population proliferation (GO:0042127)	1660	182	127.69	+	1.43	6.85E-07	2.59E-04
positive regulation of multicellular organismal process (GO:0051240)	1678	183	129.07	+	1.42	9.87E-07	3.47E-04
negative regulation of multicellular organismal process (GO:0051241)	1146	124	88.15	+	1.41	9.93E-05	1.18E-02
positive regulation of intracellular signal transduction (GO:1902533)	1145	123	88.07	+	1.40	1.57E-04	1.62E-02
small molecule metabolic process (GO:0044281)	1567	168	120.53	+	1.39	8.43E-06	1.91E-03
positive regulation of immune system process (GO:0002684)	1045	112	80.38	+	1.39	3.35E-04	2.97E-02
positive regulation of gene expression (GO:0010628)	1197	128	92.07	+	1.39	1.37E-04	1.48E-02
response to abiotic stimulus (GO:0009628)	1146	122	88.15	+	1.38	2.49E-04	2.34E-02
regulation of multicellular organismal development (GO:2000026)	1419	151	109.15	+	1.38	3.46E-05	5.22E-03
positive regulation of response to stimulus (GO:0048584)	2316	246	178.15	+	1.38	8.45E-08	5.19E-05
response to endogenous stimulus (GO:0009719)	1244	132	95.69	+	1.38	1.45E-04	1.51E-02
response to oxygen-containing compound (GO:1901700)	1577	167	121.30	+	1.38	1.78E-05	3.19E-03
anatomical structure morphogenesis (GO:0009653)	2303	242	177.15	+	1.37	2.47E-07	1.14E-04
positive regulation of signal transduction (GO:0009967)	1619	169	124.53	+	1.36	3.46E-05	5.26E-03
cellular response to chemical stimulus (GO:0070887)	2010	209	154.61	+	1.35	4.33E-06	1.05E-03
positive regulation of developmental process (GO:0051094)	1337	139	102.84	+	1.35	2.41E-04	2.31E-02
positive regulation of signaling (GO:0023056)	1823	187	140.22	+	1.33	3.30E-05	5.08E-03
regulation of multicellular organismal process (GO:0051239)	2996	305	230.45	+	1.32	1.05E-07	5.75E-05
positive regulation of cell communication (GO:0010647)	1822	185	140.15	+	1.32	7.21E-05	9.09E-03
defense response (GO:0006952)	1527	155	117.46	+	1.32	3.16E-04	2.85E-02
system development (GO:0048731)	3670	372	282.29	+	1.32	3.09E-09	3.79E-06
cell surface receptor signaling pathway (GO:0007166)	2155	218	165.76	+	1.32	1.85E-05	3.18E-03
multicellular organism development (GO:0007275)	4074	409	313.37	+	1.31	1.14E-09	1.69E-06
response to external stimulus (GO:0009605)	2003	201	154.07	+	1.30	6.88E-05	8.82E-03
regulation of immune system process (GO:0002682)	1661	166	127.76	+	1.30	3.73E-04	3.22E-02
regulation of response to stimulus (GO:0048583)	4142	404	318.60	+	1.27	5.78E-08	4.06E-05
regulation of developmental process (GO:0050793)	2475	240	190.38	+	1.26	1.10E-04	1.29E-02
regulation of intracellular signal transduction (GO:1902531)	2034	197	156.45	+	1.26	5.30E-04	4.03E-02
anatomical structure development (GO:0048856)	5370	519	413.06	+	1.26	6.53E-10	1.20E-06
regulation of signaling (GO:0023051)	3579	342	275.29	+	1.24	7.06E-06	1.63E-03
animal organ development (GO:0048513)	2935	280	225.76	+	1.24	8.37E-05	1.05E-02
developmental process (GO:0032502)	5903	563	454.05	+	1.24	6.72E-10	1.10E-06
regulation of signal transduction (GO:0009966)	3130	298	240.76	+	1.24	5.14E-05	7.09E-03
regulation of cell communication (GO:0010646)	3583	341	275.60	+	1.24	1.15E-05	2.42E-03
response to stress (GO:0006950)	3577	332	275.14	+	1.21	1.25E-04	1.39E-02
multicellular organismal process (GO:0032501)	6486	588	498.90	+	1.18	8.09E-07	2.91E-04
positive regulation of biological process (GO:0048518)	6174	552	474.90	+	1.16	1.41E-05	2.74E-03
positive regulation of cellular process (GO:0048522)	5828	516	448.29	+	1.15	1.11E-04	1.29E-02
biological regulation (GO:0065007)	12243	1007	941.72	+	1.07	4.81E-04	3.82E-02
macromolecule metabolic process (GO:0043170)	5404	346	415.67	-	.83	2.73E-05	4.39E-03
nucleobase-containing compound metabolic process (GO:0006139)	2773	154	213.30	-	.72	2.83E-06	7.45E-04
intracellular transport (GO:0046907)	1254	65	96.46	-	.67	3.68E-04	3.19E-02
nucleic acid metabolic process (GO:0090304)	2201	108	169.30	-	.64	5.45E-08	4.02E-05
RNA metabolic process (GO:0016070)	1572	72	120.92	-	.60	3.54E-07	1.45E-04
nucleobase-containing compound biosynthetic process (GO:0034654)	1802	80	138.61	-	.58	8.24E-09	8.68E-06
RNA biosynthetic process (GO:0032774)	1414	62	108.76	-	.57	2.73E-07	1.18E-04
nucleic acid biosynthetic process (GO:0141187)	1504	65	115.69	-	.56	6.48E-08	4.16E-05
protein localization to organelle (GO:0033365)	707	30	54.38	-	.55	2.32E-04	2.26E-02
modification-dependent macromolecule catabolic process (GO:0043632)	581	24	44.69	-	.54	6.38E-04	4.55E-02
